original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Auf der ganzen Welt sind schon hunderttausende Menschen von Corona-Virus krank geworden.,Der Corona-Virus hat sich auf der ganzen Welt schon bei mehr als 100.000 Menschen gezeigt.,Es gibt ein neues Virus. Das Virus nennt man Corona-Virus. Viele Menschen sind schon davon krank geworden. In ganz vielen Ländern gibt es jetzt auch sehr viele kranke Menschen. Das Corona-Virus kommt aus China.,2,n,19,uid_apa_test_752,r3_pid_apa8
"2019 waren 6 Kinder unter den Todesopfern, während im Jahr 2018 kein Kind beim Zu-Fuß-Gehen im Straßenverkehr starb.",Im Jahr 2019 sind in Österreich 6 Kinder beim Zu-Fuß-Gehen im Straßen-Verkehr gestorben.,2019 sind 6 Kinder beim Zu-Fuß-Gehen gestorben. Im Jahr 2018 war kein Kind beim Zu-Fuß-Gehen gestorben.,5,n,3,uid_apa_test_710,r3_pid_apa3
"Die ÖVP findet das Verbot unfair für die Bauern, die Glyphosat verwenden.",Die ÖVP findet das Verbot unfair. Denn die Bauern müssen mit Glyphosat ihre Felder bestehen. Das ist wichtig für ihre Wirtschaft.,"Die ÖVP findet das Verbot von Glyphosat unfair für die Bauern. Denn viele Bauern verwenden Glyphosat bei der Landwirtschaft. Es hilft, die Pflanzen besser zu schützen. Deshalb ist die ÖVP dagegen, dass das Gift von Glyphosat verboten wird.",6,n,17,uid_apa_test_446,r3_pid_apa217
Als erster Mensch in den USA bekam die Krankenschwester Sandra Lindsay die Impfung.,"Die Krankenschwester Sandra Lindsay war die erste Person in den USA, die die Corona-Impfung bekam.","Sie war die erste Person in den USA, die sich impfen ließ. Sie hieß Sandra Lindsay. Sie ist eine Krankenschwester. Sie bekam die erste Impfung in den USA.",6,n,13,uid_apa_test_50,r3_pid_apa25
"Die ÖVP findet das Verbot unfair für die Bauern, die Glyphosat verwenden.","Die ÖVP findet das Verbot unfair, weil viele Bauern das Unkraut-vernichtungsmittel Glyphosat verwenden.","Die ÖVP sagt, dass es unfair ist, dass Bauern, die Glyphosat verwenden, Probleme bekommen.",2,y,1,uid_apa_test_446,r3_pid_apa48
Am 22. Juni hat das Geparden-Weibchen Afra im Wiener Tiergarten Schönbrunn 4 Geparden-Babys auf die Welt gebracht.,Am 22. Juni sind im Wiener Tiergarten Schönbrunn 4 Gepard-Babys auf die Welt gekommen. Die Gepard-Mutter nennt man Afra. Im Tiergarten Schönbrunn in Wien sind 4 Gepard-Babys auf die Welt gekommen. Die Mutter nennt man Afra.,Im Tiergarten Schönbrunn in Wien hat am 22. Juni das Weibchen Afra 4 Geparden-Babys auf die Welt gebracht.,5,y,18,uid_apa_test_250,r3_pid_apa249
"Auch spazieren gehen darf man nur alleine oder mit den Menschen, mit denen man zusammen lebt.","Man darf nur mit sich selbst oder mit den Menschen, mit denen man zusammen lebt. Zum Beispiel mit den Eltern oder Geschwistern.","Auch spazieren gehen darf man nur alleine oder mit den Menschen, mit denen man zuhause lebt. Dafür gibt es keine Ausnahmen.",6,y,1,uid_apa_test_653,r3_pid_apa50
Am Donnerstag ist ein Mann in Kärnten von einer Kuh schwer verletzt worden.,Am Donnerstag wurde ein Mann in Kärnten bei einem Unglück verletzt.,Am Donnerstag ist ein Mann in Kärnten schwer verletzt worden.,5,y,1,uid_apa_test_438,r3_pid_apa208
Am Freitag haben für rund 450.000 Schüler in Wien und Niederösterreich die Semesterferien begonnen.,Am Freitag haben in Wien und in Niederösterreich die Semesterferien begonnen. Das betrifft rund 450.000 Schüler. Die Ferien dauern bis zum 1. September.,Am Freitag sind für 450.000 Schüler im Bundesland Wien und in Niederösterreich die Semester-Ferien angefangen.,6,n,8,uid_apa_test_496,r3_pid_apa248
Dabei wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt.,Bei diesem Streit wurden auch Geschäfte zerstört.,Dabei wurden auch Polizei-Autos abgebrannt und Geschäfte zerstört.,5,n,1,uid_apa_test_245,r3_pid_apa85
