prompt,simplification1,simplification2,question,options,answer
"Formulieren Sie den komplexen Satz um, indem Sie mindestens einen neuen einfachen Satz bilden. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Behalten Sie die gleiche Bedeutung des Ausgangssatzes bei. Bitte geben Sie ausschliesslich den vereinfachten Satz an, ohne zusätzliche Informationen. Komplex: B. Beratung und Unterstützung bei der Berufswahl und der Suche eines geeigneten Ausbildungs- // Arbeitsplatzes sowie bei deren Erhaltung, angeboten. Leicht:",B. Es gibt Beratung und Unterstützung bei der Berufswahl. Es gibt Hilfe bei der Suche nach einem Ausbildungsplatz oder Arbeitsplatz. Auch bei deren Erhaltung wird unterstützt.,B. Es gibt Beratung und Unterstützung bei der Berufswahl. Man hilft auch bei der Suche nach einem Ausbildungs- oder Arbeitsplatz und deren Erhaltung.,1.312350654,1.324651858,pilot_capito_17313
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: In Oberösterreich, Tirol und in der Steiermark sind die kühlsten Badeseen in Österreich zu finden. Leicht:","In Oberösterreich, Tirol und der Steiermark gibt es die kältesten Badeseen in Österreich.","In Oberösterreich, Tirol und der Steiermark gibt es kalte Badeseen.",1.114724361,1.095885173,pilot_apa_3372
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: ""Anfang April werden damit auch alle über 80-Jährigen geimpft sein können"", sagte er.","""Anfang April können auch alle Menschen über 80 Jahren eine Impfung bekommen"", sagte er.","""Ab Anfang April können alle Menschen über 80 Jahre geimpft sein,"" sagte er.",1.436108464,1.328764795,pilot_apa_3804
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Am Sonntag haben in der Ukraine Parlaments-Wahlen stattgefunden. Leicht:,Am Sonntag gab es in der Ukraine Wahlen für das Parlament.,Am Sonntag war in der Ukraine eine Wahl für das Parlament.,1.076359997,1.277423723,pilot_apa_2919
"Vereinfache den folgenden Satz auf Sprachniveau A2: Hingewiesen werden muss auch darauf, dass gerade im Bereich von - qualifizierten - Bürotätigkeiten derzeit unserer Beobachtung nach sehr wenige für Menschen mit Behinderung geeignete Arbeitsplätze zur Verfügung stehen.",Es gibt nur wenige Arbeitsplätze für Menschen mit Behinderung in Büroberufen.,Es gibt sehr wenige passende Büroarbeitsplätze für Menschen mit Behinderung.,1.569831647,1.469965385,pilot_capito_54500
"Vereinfache den folgenden Satz auf Sprachniveau A2: Es gibt in Österreich keine Behörden oder Institutionen, die Unternehmen auf Barrierefreiheit kontrollieren oder Strafen verhängen, wenn der Betrieb nicht barrierefrei ist.","In Österreich gibt es keine Stellen, die überprüfen, ob ein Geschäft barrierefrei ist oder Strafen geben.","In Österreich gibt es keine Stellen, die prüfen, ob ein Unternehmen barrierefrei ist, oder Strafen geben, wenn es das nicht ist.",1.396072458,1.261993352,pilot_capito_65111
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Mit diesem Schreiben informieren wir Sie über die Höhe der bereits gutgeschriebenen Gewinnbeteiligung. Leicht:,"Wir schreiben Ihnen, um Ihnen zu sagen, wie viel Gewinnbeteiligung Sie schon bekommen haben.","Wir schreiben Ihnen, wie viel Gewinnbeteiligung Sie schon bekommen haben.",1.384378886,1.339415074,pilot_capito_41513
"Formulieren Sie den komplexen Satz um, indem Sie mindestens einen neuen einfachen Satz bilden. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Behalten Sie die gleiche Bedeutung des Ausgangssatzes bei. Bitte geben Sie ausschliesslich den vereinfachten Satz an, ohne zusätzliche Informationen. Komplex: Der Auslöser war offenbar ein Kampf innerhalb der Verbrecher-Bande Los Choneros. Leicht:",Der Auslöser war ein Kampf. Die Verbrecher-Bande Los Choneros war daran beteiligt.,Ein Kampf in der Verbrecher-Bande Los Choneros war der Auslöser.,1.193428877,1.139937864,pilot_apa_1728
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Recht auf persönliche Arbeitsassistenz am Arbeitsplatz ( Frage 34, Artikel 27, Seite 86 ) in Dänemark, Portugal und Schweden : In Dänemark, Portugal und Schweden haben Menschen mit Behinderung das Recht auf eine staatlich finanzierte Arbeitsassistenz.","In Dänemark, Portugal und Schweden bekommen Menschen mit Behinderung Hilfe bei der Arbeit. Der Staat bezahlt die Hilfe.","Menschen mit Behinderung in Dänemark, Portugal und Schweden können Hilfe bei der Arbeit bekommen. Der Staat bezahlt diese Hilfe.",1.16107304,1.149751545,pilot_capito_37660
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Sie kann von Personen, die ihren gewöhnlichen Aufenthalt in der Steiermark haben in Anspruch genommen werden, die ihren Lebensunterhalt mit eigenen Mitteln, mit dem Einsatz ihrer Arbeitskraft oder durch Geld- und Sachleistungen Dritter nicht abdecken können. Leicht:","Menschen, die in der Steiermark leben, können sie bekommen. Sie können ihre Lebenshaltungskosten nicht selbst bezahlen. Sie verdienen nicht genug Geld oder bekommen nicht genug Hilfe von anderen.","Menschen, die in der Steiermark leben, können diese Hilfe bekommen. Sie brauchen Geld oder Unterstützung, weil sie nicht genug Geld verdienen. Auch Hilfe von anderen Personen reicht nicht aus.",1.491649159,1.79847716,pilot_capito_30907
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Eingabefeld Länderauswahl : Hier können Sie entweder den ISO-Alpha-2 -Code ( 2-stellige-internationale Länderabkürzung ) oder den Ländernamen eingeben, wobei bei der Eingabe des Ländernamens ab dem dritten Buchstaben Ländervorschläge durch die Datenbank erfolgen. Leicht:",Feld zur Auswahl eines Landes: Hier kannst du die 2-Buchstaben-Abkürzung oder den Namen eines Landes schreiben. Ab dem dritten Buchstaben bekommst du Vorschläge aus der Datenbank.,"Feld für Länderwahl: Hier können Sie das 2-Buchstaben-Länder-Kürzel oder den Namen des Landes schreiben. Wenn Sie ab dem dritten Buchstaben den Ländernamen tippen, zeigt die Datenbank Ihnen Vorschläge an.",1.469201817,1.613572497,pilot_capito_22598
"Formulieren Sie den komplexen Satz um, indem Sie mindestens einen neuen einfachen Satz bilden. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Behalten Sie die gleiche Bedeutung des Ausgangssatzes bei. Bitte geben Sie ausschliesslich den vereinfachten Satz an, ohne zusätzliche Informationen. Komplex: Eine risikofreie Gesellschaft gibt es nicht, es gehört auch zur Würde einer Gesellschaft, Risiken zuzulassen und damit - im vorliegenden Kontext - die Resozialisierung überhaupt möglich zu machen : Prinzip der Würde des Risikos. Leicht:","Es gibt keine Gesellschaft ohne Risiko. Es ist wichtig, Risiken zuzulassen. So kann Resozialisierung möglich werden.","Eine risikofreie Gesellschaft gibt es nicht. Es ist wichtig, Risiken zuzulassen. So wird Resozialisierung möglich. Das gehört zur Würde der Gesellschaft.",1.164753976,1.327077948,pilot_capito_8100
